大类,dashboardId,chartId,指标,网关,筛选说明,备注
订阅,10015758,88493,多个指标,oci,日期、平台、自然/渠道投放、新老用户、国家/地区、版本、分类（一级分类）,为汇总订阅链路看板区分一级来源版本，大头是Edit（图片编辑）和Else（其他，包括首页运营、订阅引导页等）
订阅,10015759,88505,多个指标,oci,日期、平台、自然/渠道投放、新老用户、国家/地区、版本、分类（二层筛选框，一级分类·二级分类）,为汇总订阅链路看板区分二级来源版本，大头是Edit-Retouch（图片编辑-美颜类）、Edit-Edit（图片编辑-编辑类）、Edit-Material（图片编辑-素材类）、Else-Onboarding（其他-新用户引导页）、Else-Update First Launch（其他-老用户升级订阅页）等，具体分级可参考（不定期更新）https://docs.google.com/spreadsheets/d/1Q1gdgKdbcfLm55cgcA-weHgGfUvGSZz5Zj0BOBSoOhE/edit?pli=1&gid=0#gid=0
订阅,10015763,88541,多个指标,oci,日期、平台、自然/渠道投放、新老用户、国家/地区、版本、分类（三层筛选框，一级分类·二级分类·三级分类）,为汇总订阅链路看板区分三级来源版本，常用于查看具体二级功能权益的订阅数据（例如AI Retouch为Edit-Retouch—AI Retouch），具体分级可参考（不定期更新）https://docs.google.com/spreadsheets/d/1Q1gdgKdbcfLm55cgcA-weHgGfUvGSZz5Zj0BOBSoOhE/edit?pli=1&gid=0#gid=0
订阅,10015764,88553,多个指标,oci,日期、平台、自然/渠道投放、新老用户、国家/地区、版本、分类（三层筛选框，一级分类·二级分类·三级分类）、四级分类,为汇总订阅链路看板区分四级来源版本，常用于查看具体三级子功能权益的订阅数据（例如选择Edit-Retouch—AI Retouch，四级分类选择所有，能得到AI Retouch下所有素材的订阅数据），具体分级可参考（不定期更新）https://docs.google.com/spreadsheets/d/1Q1gdgKdbcfLm55cgcA-weHgGfUvGSZz5Zj0BOBSoOhE/edit?pli=1&gid=0#gid=0

成本,10015926,90014,多个指标,oci,日期、平台、国家/地区、功能名称（二级功能）、功能效果（三级功能）,该看板为AI功能的服务器成本和订阅毛利，以及对应的ROI（订阅毛利/成本）

OKR,10016076,91040,多个指标,oci,日期,该看板为整体订阅毛利OKR完成度，指标包括月/季/年的目标值，实际值，完成度，时间进度
OKR,10016079,91041,多个指标,oci,日期、国家/地区,该看板为分国家订阅毛利OKR完成度，指标包括月/季/年的目标值，实际值，完成度，时间进度
OKR,10016080,91042,多个指标,oci,日期,该看板为整体MAU的OKR完成度，指标包括月/季/年的目标值，实际值，完成度，时间进度，其中月实际值和月完成度包括当月截止目前去重MAU和30天滚动MAU两种
OKR,10016080,91046/91047/91048,多个指标,oci,日期,该看板分别为整体MNU/渠道MNU/自然MNU的OKR完成度，指标包括月/季/年的目标值，实际值，完成度，时间进度
OKR,10016081,91054,多个指标,oci,日期、国家/地区,该看板为分国家MAU的OKR完成度，指标包括月/季/年的目标值，实际值，完成度，时间进度，其中月实际值和月完成度包括当月截止目前去重MAU和30天滚动MAU两种
OKR,10016081,91045/91049/91050,多个指标,oci,日期、国家/地区,该看板分别为分国家MNU/渠道MNU/自然MNU的OKR完成度，指标包括月/季/年的目标值，实际值，完成度，时间进度
